student_number,academic_year,school_id,grade,exam_grade,subject,percent_correct
304001000,2019,1,11,11,Math,48.28
304001000,2019,1,11,11,ELA,62.5
306001165,2019,1,9,9,Math,24.14
306001165,2019,1,9,9,ELA,19.79
306001166,2019,1,10,10,Math,55.17
306001166,2019,1,10,10,ELA,54.17
303001003,2019,1,11,11,Math,18.18
303001003,2019,1,11,11,ELA,31.94
301001526,2019,1,11,11,Math,48.28
301001526,2019,1,11,11,ELA,80.21
301001518,2019,1,10,10,Math,34.48
301001518,2019,1,10,10,ELA,26.04
302001311,2019,1,10,10,Math,51.72
302001311,2019,1,10,10,ELA,40.63
798264619,2019,1,10,10,Math,48.28
798264619,2019,1,10,10,ELA,39.58
303001211,2019,1,11,11,Math,70.69
303001211,2019,1,11,11,ELA,64.58
305002371,2019,1,11,11,Math,65.52
305002371,2019,1,11,11,ELA,85.42
302001267,2019,1,10,10,Math,60.34
302001267,2019,1,10,10,ELA,70.83
302001268,2019,1,10,10,Math,29.31
302001268,2019,1,10,10,ELA,29.17
302001162,2019,1,11,11,Math,37.93
302001162,2019,1,11,11,ELA,29.17
717601957,2019,1,9,9,Math,41.38
717601957,2019,1,9,9,ELA,40.63
301001527,2019,1,11,11,Math,36.21
301001527,2019,1,11,11,ELA,38.54
301001528,2019,1,11,11,Math,63.79
301001528,2019,1,11,11,ELA,68.75
701156636,2019,1,9,9,Math,17.24
701156636,2019,1,9,9,ELA,11.46
3042022001,2019,1,9,9,Math,29.31
3042022001,2019,1,9,9,ELA,16.67
303001300,2019,1,9,9,Math,55.17
303001300,2019,1,9,9,ELA,48.96
303001157,2019,1,11,11,Math,25.86
303001157,2019,1,11,11,ELA,36.46
701152718,2019,1,9,9,Math,43.1
701152718,2019,1,9,9,ELA,31.25
303001189,2019,1,11,11,Math,56.9
303001189,2019,1,11,11,ELA,77.08
301001529,2019,1,11,11,Math,34.48
301001529,2019,1,11,11,ELA,33.33
303001167,2019,1,11,11,Math,37.93
303001167,2019,1,11,11,ELA,35.42
305001479,2019,1,9,9,Math,12.07
305001479,2019,1,9,9,ELA,20.83
3042022003,2019,1,9,9,Math,56.9
3042022003,2019,1,9,9,ELA,40.63
701152525,2019,1,11,11,Math,74.14
701152525,2019,1,11,11,ELA,53.13
701156411,2019,1,9,9,Math,39.66
701156411,2019,1,9,9,ELA,36.46
301001530,2019,1,11,11,Math,51.72
301001530,2019,1,11,11,ELA,71.88
701156650,2019,1,11,11,Math,27.59
701156650,2019,1,11,11,ELA,31.25
302001116,2019,1,11,11,Math,31.03
302001116,2019,1,11,11,ELA,46.88
305001422,2019,1,10,10,Math,25.86
305001422,2019,1,10,10,ELA,30.21
303001302,2019,1,9,9,Math,31.03
303001302,2019,1,9,9,ELA,30.21
303001303,2019,1,9,9,Math,62.07
303001303,2019,1,9,9,ELA,75
302001088,2019,1,11,11,Math,39.66
302001088,2019,1,11,11,ELA,51.04
306001163,2019,1,11,11,Math,75.86
306001163,2019,1,11,11,ELA,85.42
302001097,2019,1,11,11,Math,44.83
302001097,2019,1,11,11,ELA,38.54
3042022004,2019,1,9,9,Math,46.55
3042022004,2019,1,9,9,ELA,37.5
301001531,2019,1,11,11,Math,46.55
301001531,2019,1,11,11,ELA,61.46
301001532,2019,1,11,11,Math,65.52
301001532,2019,1,11,11,ELA,29.17
701156639,2019,1,10,10,Math,22.41
701156639,2019,1,10,10,ELA,27.08
303001305,2019,1,9,9,Math,37.93
303001305,2019,1,9,9,ELA,52.08
302001270,2019,1,10,10,Math,41.38
302001270,2019,1,10,10,ELA,50
304005,2019,1,11,11,Math,81.03
304005,2019,1,11,11,ELA,87.5
305001452,2019,1,9,9,Math,24.14
305001452,2019,1,9,9,ELA,26.04
302001050,2019,1,9,9,Math,36.21
302001050,2019,1,9,9,ELA,31.25
30200001,2019,1,10,10,Math,22.41
30200001,2019,1,10,10,ELA,32.29
305001487,2019,1,10,10,Math,43.1
305001487,2019,1,10,10,ELA,36.46
245509135,2019,1,10,10,Math,17.24
245509135,2019,1,10,10,ELA,37.5
305001348,2019,1,10,10,Math,48.28
305001348,2019,1,10,10,ELA,61.46
701152651,2019,1,9,9,Math,32.76
701152651,2019,1,9,9,ELA,33.33
303001222,2019,1,11,11,Math,13.64
303001222,2019,1,11,11,ELA,22.22
359539543,2019,1,11,11,Math,13.64
359539543,2019,1,11,11,ELA,15.28
304008,2019,1,11,11,Math,48.28
304008,2019,1,11,11,ELA,41.67
701153858,2019,1,10,10,Math,27.59
701153858,2019,1,10,10,ELA,31.25
2021008,2019,1,10,10,Math,67.24
2021008,2019,1,10,10,ELA,71.88
2021009,2019,1,10,10,Math,75.86
2021009,2019,1,10,10,ELA,75
301001452,2019,1,11,11,Math,17.24
301001452,2019,1,11,11,ELA,45.83
301001533,2019,1,11,11,Math,20.69
301001533,2019,1,11,11,ELA,35.42
305001603,2019,1,10,10,Math,51.72
305001603,2019,1,10,10,ELA,35.42
2021010,2019,1,9,9,Math,34.48
2021010,2019,1,9,9,ELA,30.21
305001280,2019,1,10,10,Math,48.28
305001280,2019,1,10,10,ELA,32.29
30200002,2019,1,10,10,Math,17.24
30200002,2019,1,10,10,ELA,37.5
303001310,2019,1,9,9,Math,34.48
303001310,2019,1,9,9,ELA,23.96
302001132,2019,1,11,11,Math,37.93
302001132,2019,1,11,11,ELA,41.67
302001272,2019,1,9,9,Math,32.76
302001272,2019,1,9,9,ELA,23.96
30200003,2019,1,10,10,Math,48.28
30200003,2019,1,10,10,ELA,46.88
701153857,2019,1,9,9,Math,32.76
701153857,2019,1,9,9,ELA,13.54
359566024,2019,1,10,10,Math,24.14
359566024,2019,1,10,10,ELA,35.42
3042022010,2019,1,9,9,Math,50
3042022010,2019,1,9,9,ELA,50
701152583,2019,1,11,11,Math,43.1
701152583,2019,1,11,11,ELA,48.96
3042022009,2019,1,9,9,Math,56.9
3042022009,2019,1,9,9,ELA,36.46
301001539,2019,1,10,10,Math,32.76
301001539,2019,1,10,10,ELA,28.13
245572594,2019,1,9,9,Math,39.66
245572594,2019,1,9,9,ELA,43.75
306001322,2019,1,11,11,Math,62.07
306001322,2019,1,11,11,ELA,43.75
